"TransbasinDiversionName","Source_WaterDistrict","Source_WaterDistrict_Flag","Source_WaterDivision","Source_WaterDivision_Flag","Source_GNIS_Name_CSV","Source_GNIS_Name_CSV_Flag","Source_GNIS_ID_CSV","Source_GNIS_ID_CSV_Flag","Source_IBCCBasin","Source_IBCCBasin_Flag","Destination_WaterDistrict","Destination_WaterDistrict_Flag","Destination_WaterDivision","Destination_WaterDivision_Flag","Destination_GNIS_Name","Destination_GNIS_Name_Flag","Destination_GNIS_ID","Destination_GNIS_ID_Flag","Destination_IBCCBasin","Destination_IBCCBasin_Flag","Structure_WDID_CSV","Structure_WDID_CSV_Flag","Description","Comment"
Wilson Supply Ditch,76,G,1,G,"Sand Creek, Deadman Creek",G,"00171238, 00170260",G,North Platte,G,3,G,1,G,Sheep Creek,G,00170090,G,South Platte,G,"0304604, 7600600",Incomplete,"The Wilson Supply Ditch diverts water from Sand Creek and Deadman Creek and delivers it to Sheep Creek, a tributary of the North Fork of the Cache la Poudre River.  Diversions through the ditch include water diverted from the Laramie River basin into Sand Creek through Deadman Ditch.  The ditch is one of five transmountain diversion structures included in the Laramie River Compact between Colorado and Wyoming.  The ditch is owned by the Divide Canal and Reservoir Company.  The company stores the water in Wooster Reservoir or Halligan Reservoir and releases the water on an as-needed basis through the North Fork of the Cache la Poudre River for irrigation and municipal use.",
Deadman Ditch,76,G,1,G,Deadman Creek,G,00170260,G,North Platte,G,3,G,1,G,Sand Creek,G,00171238,G,South Platte,G,7600572,Incomplete,The Deadman Ditch diverts water from the Laramie River basin into Sand Creek.  The ditch is owned by Divide Canal and Reservoir Company.  The ditch is one of five transmountain diversion structures included in the Laramie River Compact between Colorado and Wyoming.,
Bob Creek Ditch,48,G,1,G,Bob Creek,G,,N,North Platte,G,3,G,1,G,Roaring Creek,G,00170262,G,South Platte,G,4800573,Incomplete,"The Bob Creek Ditch diverts water from Bob Creek and other tributaries of Nunn Creek, all of which are tributaries of the Laramie River, into Roaring Creek, a tributary of the Cache la Poudre River.  The ditch is owned by the City of Greeley.  The ditch is one of five transmountain diversion structures included in the Laramie River Compact between Colorado and Wyoming.  ",
Columbine Ditch-South Platte,48,G,1,G,Columbine Creek?,z,,N,North Platte,G,3,G,1,G,North Fork Cache la Poudre River,G,00177209,G,South Platte,G,0304607,Incomplete,Does not appear to be in use anymore?  Cannot find much information.  The ditch is owned by the City of Greeley.  The ditch is one of five transmountain diversion structures included in the Laramie River Compact between Colorado and Wyoming.,
Laramie Poudre Tunnel,48,G,1,G,West Branch Laramie River,G,00177050,G,North Platte,G,3,G,1,G,Cache la Poudre River,G,00205018,G,South Platte,G,"4800576, 0304600",Incomplete,The Laramie Poudre Tunnel receives water from the west branch of the Laramie River and the Rawah Ditch and transports it to the Cache la Poudre River.  The tunnel is part of the larger Laramie River System of the Tunnel Water Company.  The Tunnel Water Company is a mutual ditch company with 2 shareholders: the Water Supply and Storage Company and Windsor Reservoir and Canal Company.  The tunnel is one of five transmountain diversion structures included in the Laramie River Compact between Colorado and Wyoming.,
Skyline Ditch,48,G,1,G,West Branch Laramie River,G,00177050,G,North Platte,G,3,G,1,G,Cache la Poudre River,G,00205018,G,South Platte,G,4800577,Incomplete,"The Skyline Ditch (also known as the Laramie River Ditch) diverts water from the west branch of the Laramie River and empties directly into Chambers Lake, part of the Cache la Poudre River basin.  Near the top of the ditch, water can be diverted at various locations and transported down Rawah Creek for transfer through the Laramie Poudre Tunnel.  The ditch is owned by the Water Supply and Storage Company and is one of five transmountain diversion structures included in the Laramie River Compact between Colorado and Wyoming.    ",
Cameron Pass Ditch,47,G,6,G,Michigan River,G,00172408,G,North Platte,G,3,G,1,G,Joe Wright Creek,G,00177096,G,South Platte,G,"0304602, 4704602",Incomplete,The Cameron Pass Ditch is a collection system that intercepts water from the Michigan River and conveys it across Cameron Pass into Joe Wright Creek.  The water flows approximately 5 miles where it is stored in Chambers Lake.  The ditch is owned by the Water Supply and Storage Company.,
Michigan Ditch,47,G,6,G,Michigan River,G,00172408,G,North Platte,G,3,G,1,G,Joe Wright Creek,G,00177096,G,South Platte,G,"4704603, 0304603",Incomplete,"The Michigan Ditch diverts water from the Michigan River and transports it through Cameron Pass into Joe Wright Creek, a tributary of the Cache la Poudre River.  Water is stored in Joe Wright Reservoir and Chambers Lake.  The ditch is owned by the City of Fort Collins.  The ditch was historically used to provide irrigation water to irrigators in the Poudre River basin.  Fort Collins acquired the ditch from the North Poudre Irrigation Company through a trade in 1971.  In exchange for waters from four smaller ditches (Arthur Ditch, New Mercer Ditch, Josh Ames Ditch and Larimer County No. 2 Ditch), Fort Collins acquired Michigan Ditch and Joe Wright Reservoir.",
Grand River Ditch,51,G,5,G,Colorado River,G,00045730,G,Colorado,G,3,G,1,G,La Poudre Pass Creek,G,00177263,G,South Platte,G,"5104601, 0304601, 5101213, 5101212",Incomplete,"The Grand River Ditch, owned by Water Supply and Storage Company, collects water the headwaters of the North Fork of the Colorado River on the east slope of the Never Summer Mountains.  Water is diverted at La Poudre Pass into La Poudre Pass Creek, a tributary of the Cache la Poudre River.  The ditch has two feeder ditches, the North Feeder Ditch and the South Feeder Ditch.  The North Feeder Ditch is 15 miles long and has headgates on the following tributaries:  West branch of Baker's Gulch, Middle Fork of Baker's Gulch, East Fork of Baker's Gulch, Opposition Creek, Mosquito Creek, Lost Creek, Roaring Creek, Big Dutch Creek, Middle Dutch Creek, Little Dutch Creek, Saw Mill Creek, Lulu Creek, Bennett Crek, Red Mountain Creek, Princess Creek and Broken Foot Creek.  The South Feeder Ditch (a.k.a. Little Grand River Ditch or Specimen Ditch) is two miles long and diverts water from Specimen Creek.  WSSC diverts the water, stores the water in Long Draw Reservoir and releases the water on an as-needed basis through the Larimer County Ditch for irrigation and municipal use.  The water may also be stored in WSSC's plains reservoirs until needed by WSSC.",
Colorado-Big Thompson Project,51,G,5,G,Colorado River,G,00045730,G,Colorado,G,4,G,1,G,Big Thompson River,G,00205019,G,South Platte,G,"5104634, 0404634",Incomplete,"The Colorado-Big Thompson Project diverts water from the Upper Colorado River basin via the Alva B. Adams Tunnel for irrigation and municipal uses in the South Platte basin.  The project is jointly operated by the U.S. Bureau of Reclamation and the Northern Colorado Water Conservancy District (Northern Water).  The Adams Tunnel diverts water directly out of Grand Lake.  At the east portal, water flows into the Aspen Creek Siphon, through the Rams Horn Tunnel, into Marys Lake, through the Prospect Mountain Tunnel, into Lake Estes, and then into the Big Thompson River.  Water is stored in Horsetooth Reservoir and Carter Lake.",
